trialNo,trialType,participantRole,targetImage,distractorImage,soundFile,partner
233,prime,match,g2_c3,g3_c1,g2_c3_1,overspecific
234,fillerDir,direct,f_di2,f_su1,NA,overspecific
235,fillerMatch,match,m_di4,m_ha1,m_di4,overspecific
236,target,direct,g2_c3,k1_c2,NA,overspecific
237,fillerMatch,match,frv4,frv9,frv4_1,overspecific
238,fillerDir,direct,frv11,frv8,NA,overspecific
239,prime,match,g3_c4,g4_c3,g3_c4_1,overspecific
240,fillerDir,direct,m_su1,m_an1,NA,overspecific
241,fillerMatch,match,ani13,ani10,ani13_1,overspecific
242,target,direct,g4_c3,k3_c2,NA,overspecific
243,fillerMatch,match,m_su4,m_an3,m_su4,overspecific
244,fillerDir,direct,frv14,frv16,NA,overspecific
245,prime,match,k2_c2,g4_c3,k2_c2_1,overspecific
246,fillerDir,direct,ani14,ani4,NA,overspecific
247,fillerMatch,match,m_sa4,m_ha3,m_sa4,overspecific
248,target,direct,k3_c1,k4_c2,NA,overspecific
249,fillerMatch,match,ani4,ani3,ani4_1,overspecific
250,fillerDir,direct,f_su4,f_an2,NA,overspecific
251,fillerMatch,match,m_an1,m_su3,m_an1,overspecific
252,fillerDir,direct,k4_c1,k4_c4,NA,overspecific
253,prime,match,k1_c3,g2_c4,k1_c3_1,overspecific
254,fillerDir,direct,f_an2,f_di4,NA,overspecific
255,fillerMatch,match,f_di4,f_ha2,f_di4,overspecific
256,target,direct,g3_c3,k4_c4,NA,overspecific
